Age,Difference,Model
20,-151.8521,UC
18,-381.0316,UC
18,-244.1221,UC
23,-553.6788,UC
21,14.7049,UC
20,-359.0707,UC
22,-325.5216,UC
18,-292.4223,UC
23,-553.2111,UC
20,-451.9387,UC
23,-340.2873,UC
20,-350.8982,UC
19,-460.5753,UC
20,-582.3447,UC
21,-332.1474,UC
19,-160.0027,UC
22,-299.1189,UC
18,-175.6615,UC
20,-367.1744,UC
21,-427.292,UC
19,-339.8875,UC
19,-334.8079,UC
22,-361.8866,UC
21,-522.7931,UC
21,-336.0223,UC
22,-206.7065,UC
20,14.7049,UC
21,-184.2235,UC
23,-480.403,UC
24,-402.2473,UC
23,-396.6387,UC
20,-427.8152,UC
23,-435.2378,UC
21,-405.2263,UC
21,-290.8611,UC
19,-398.628,UC
18,-470.011,UC
21,-384.9425,UC
23,-365.1246,UC
21,-426.7163,UC
18,-454.2697,UC
24,-482.0695,UC
22,-386.1405,UC
23,-433.0816,UC
20,-452.7899,UC
20,-801.0649,UC
22,-351.4276,UC
22,-504.2425,UC
22,-417.2778,UC
23,-350.2038,UC
22,-412.4057,UC
18,-165.5817,UC
17,-432.7786,UC
23,-431.4997,UC
17,-401.6507,UC
17,-465.4636,UC
14,-360.5852,UC
17,-433.3573,UC
19,-171.7178,UC
18,-801.0649,UC
21,-353.9775,UC
23,-390.5575,UC
24,-467.7565,UC
17,-423.3951,UC
14,-355.069,UC
17,-352.2101,UC
24,-317.8645,UC
24,-377.1545,UC
17,-226.183,UC
20,-383.8879,UC
19,-433.6448,UC
17,-402.5271,UC
21,-357.6134,UC
17,-349.3007,UC
17,-268.3515,UC
16,-348.0723,UC
16,-385.2699,UC
16,-347.9912,UC
22,-254.8323,UC
24,-222.5184,UC
17,-323.2428,UC
17,-371.6965,UC
16,-525.1691,UC
13,-198.7277,UC
13,-405.4523,UC
16,-267.7517,UC
12,-393.056,UC
13,-386.7408,UC
15,-396.0466,UC
17,-310.8113,UC
13,-261.678,UC
15,-265.231,UC
12,-252.5831,UC
15,-432.3398,UC
12,-248.8776,UC
12,-338.7929,UC
13,-281.12,UC
11,-323.7496,UC
14,-238.9266,UC
12,-281.7067,UC
15,-424.4602,UC
15,-363.0257,UC
14,-331.4161,UC
14,-286.2668,UC
14,-507.1217,UC
15,-365.9266,UC
14,-343.5749,UC
16,-305.7765,UC
10,-222.2799,UC
13,32.3715,UC
11,-105.7198,UC
11,-201.0477,UC
10,-227.089,UC
10,-392.0798,UC
12,-435.3364,UC
11,-185.7551,UC
12,-210.4816,UC
12,-187.9909,UC
15,-359.1445,UC
10,2.8271,UC
10,-374.9705,UC
13,-375.7248,UC
13,-251.4367,UC
10,-219.5539,UC
14,-302.746,UC
13,-243.5849,UC
11,-155.2845,UC
11,-148.1413,UC
10,-230.7826,UC
14,-418.2233,UC
15,-354.3267,UC
16,-310.7287,UC
14,-207.784,UC
16,-406.9942,UC
11,-169.2649,UC
12,-323.0442,UC
24,-453.6577,UC
24,-299.359,UC
11,33.2255,UC
15,-255.8798,UC
24,-358.4485,UC
18,-318.5734,UC
15,-253.9308,UC
18,-230.4462,UC
10,-168.6467,UC
13,-123.6319,UC
11,-305.1421,UC
12,-361.8396,UC
11,-384.7364,UC
13,-344.733,UC
10,-178.0097,UC
24,-375.5349,UC
13,-455.2897,UC
19,-431.3354,UC
12,-183.8119,UC
19,-44.9271,UC
11,-353.7587,UC
20,-251.0374,SC
18,-372.4552,SC
18,-231.0641,SC
23,-678.3044,SC
21,29.4098,SC
20,-335.8845,SC
22,-334.8449,SC
18,-292.3763,SC
23,-544.415,SC
20,-430.9454,SC
23,-316.2083,SC
20,-354.8634,SC
19,-395.3107,SC
20,-534.3843,SC
21,-323.8009,SC
19,-244.4992,SC
22,-294.5971,SC
18,-264.9971,SC
20,-335.389,SC
21,-372.2189,SC
19,-303.221,SC
19,-339.4315,SC
22,-355.2775,SC
21,-514.1972,SC
21,-315.5454,SC
