SUBJECT,APQ_ChildPosParenting,APW_ChildPoorMonitoring,APQ_ChildInconsistentDisc,APQ_Child_InvolvMother,APQ_ChildInvolvFather,SEQ_ProsocialBeh,SEQ_AcceptingProsocialBeh,SEQ_PhysicalAgress,SEQ_RelationalAgress,SEQ_PhysicalVitimization,SEQ_RelationalVictimization
SLP3-001,17,28,6,22,23,4.14,3.43,1.33,1.6,1.33,1.2
SLP3-002,19,30,15,25,12,3.43,3.43,1.33,1.6,1,1.2
SLP3-003,19,25,16,34,31,3.86,3.71,2,2.4,1.67,2.4
SLP3-004,21,29,18,34,37,2.86,3.71,1.5,1,1.33,1.2
SLP3-005,25,14,10,44,14,3.86,2.71,1,1.4,1,1
SLP3-006,14,22,18,34,30,3.86,3,1,1.2,1.17,1
SLP3-007,21,24,6,29,14,4,4,1,1.2,1,1.2
SLP3-008,25,26,16,42,41,3.71,3.29,1.83,1.8,1.5,1.6
SLP3-009,19,23,11,34,31,3.43,4,1.17,1.6,1.17,1.6
SLP3-011,15,32,16,31,24,4.29,4.14,1.17,1.6,1,1.2
SLP3-012,27,18,10,43,36,4.29,3.86,1.17,1.4,1.17,1
SLP3-014,14,40,17,21,15,3.43,3.29,1.5,2,1.67,1.4
SLP3-015,14,30,15,32,28,3.43,3.43,2.33,2.4,1.5,1.8
SLP3-016,26,19,16,44,43,4.29,4.43,1,1,1.17,1
SLP3-017,20,19,10,28,25,3.43,3.43,1,1,1,1
SLP3-018,19,30,21,38,29,3.71,3.86,2.17,2,2,1.4
SLP3-019,16,29,15,28,23,3.29,3.29,1,1.2,1.33,1.2
SLP3-020,24,22,15,39,39,4,4,1.5,1.6,1.5,1.6
SLP3-021,13,32,17,33,18,4.14,3.57,1,1.6,1,1.6
SLP3-022,23,27,14,34,35,3.86,3.57,1,1.4,1,1
SLP3-023,27,25,11,24,45,4.57,4.43,1.33,2,1.17,1
SLP3-024,20,24,11,39,28,4.57,3.86,1.17,1.8,1.33,1.2
SLP3-025,10,38,16,21,11,3,3.43,1.67,1.2,1.33,1.4
SLP3-026,17,20,13,25,29,3.57,3,1,1,1.17,1
SLP3-027,21,28,9,31,19,3.86,3.29,1.33,1.4,1.17,1
SLP3-028,26,20,10,37,33,4.43,4.14,1,1.2,1,1
SLP3-029,21,25,10,22,18,3.71,3.86,1,1,1,1
SLP3-030,23,29,18,39,39,3.71,3.86,1.67,2.4,2,1.8
SLP3-031,24,19,10,40,39,4.43,2.71,1,1,1,1
SLP3-032,18,28,10,36,27,3.86,3.57,1.33,2,1.17,1.2
