subject,s_age,softmax,criterion,alpha,beta,gender,age,ageExact,SES,SES_coded,meanprior,priorSD,s_ageExact,logmeanprior,logcriterion,logpriorSD,f_age,ageGroup,f_ageGroup,ageGroupsmall,IQ
1,20,31.218,0.12235,1,1,0,20,20.94,high SES,2,0.5,0.288675135,0.793225891,-0.693147181,-2.100869489,-1.242453325,20,4,4,6,107.5
100,13,87.666,0.10486,3.5708,3.2508,0,13,13.08,middle SES,1,0.523454908,0.178584531,-1.017794671,-0.647304388,-2.255129152,-1.722693227,13,2,2,2,122.5
101,11,67.277,0.09721,2.2846,2.1414,0,11,11.2,middle SES,1,0.516177135,0.214537236,-1.450964984,-0.661305287,-2.330881692,-1.539271961,11,1,1,1,112.5
102,14,72.778,0.023864,3.5572,15.842,0,14,14.48,middle SES,1,0.183368386,0.085677889,-0.695221034,-1.69625811,-3.735384232,-2.457160491,14,2,2,3,112.5
103,12,41.492,1.49E-09,3.5914,4.6188,0,12,12.79,middle SES,1,0.437431488,0.16345876,-1.084613496,-0.826835185,-20.32448972,-1.811194552,12,1,1,2,120
104,15,120.31,0.080771,3.9143,3.7081,1,15,15.58,high SES,2,0.513525924,0.170214657,-0.441770319,-0.666454767,-2.516137289,-1.77069495,15,2,2,3,80
106,15,104.74,0.053812,2.5909,2.6308,1,15,15.72,high SES,2,0.496179405,0.200448491,-0.409512956,-0.700817714,-2.922258788,-1.607197966,15,2,2,3,80
108,14,44.657,0.041554,1,1,1,14,14.37,high SES,2,0.5,0.288675135,-0.720566106,-0.693147181,-3.180761493,-1.242453325,14,2,2,3,122.5
109,14,48.703,0.0042312,1.856,3.4988,0,14,14.56,middle SES,1,0.346604915,0.188779289,-0.676788255,-1.059569721,-5.465269638,-1.667176728,14,2,2,3,117.5
11,20,142.71,0.066991,5.3108,4.2662,0,20,20.86,high SES,2,0.554536911,0.152823394,0.774793112,-0.589621907,-2.703196997,-1.878472315,20,4,4,6,117.5
110,14,261.65,0.069949,8.6645,8.8113,1,14,14.77,high SES,2,0.495799906,0.116319642,-0.62840221,-0.701582849,-2.659988874,-2.151413347,14,2,2,3,120
111,15,124.78,0.093997,3.9501,4.9592,0,15,15.26,high SES,2,0.443368166,0.15781373,-0.515501437,-0.81335478,-2.364492412,-1.846339864,15,2,2,3,107.5
112,14,264.29,0.05602,7.8218,20.903,0,14,14.64,high SES,2,0.272301287,0.081647178,-0.658355476,-1.300846154,-2.882046509,-2.50534802,14,2,2,3,105
113,16,29.175,0.027125,1,1,1,16,16.84,high SES,2,0.5,0.288675135,-0.151454046,-0.693147181,-3.607299467,-1.242453325,16,3,3,4,105
114,10,195.54,0.034064,6.3887,24.415,0,10,10.92,high SES,2,0.20740041,0.071894042,-1.515479711,-1.573104008,-3.379514171,-2.632561879,10,1,1,1,110
115,13,166000,0.0001632,29239,23.436,0,13,13.08,high SES,2,0.99919911,0.000165367,-1.017794671,-0.000801211,-8.720534115,-8.707340966,13,2,2,2,105
116,11,20.421,0.10057,1.7949,1,1,11,11.04,middle SES,1,0.642205446,0.246067177,-1.487830543,-0.442847018,-2.296901277,-1.402150703,11,1,1,1,105
117,10,22.87,0.032045,1,2.2085,1,11,11.04,middle SES,1,0.311672121,0.225778713,-1.487830543,-1.165803538,-3.440614114,-1.488199907,11,1,1,1,112.5
118,10,587.46,0.036172,29.886,63.303,1,10,10.5,high SES,2,0.320703087,0.048092937,-1.612251803,-1.137239546,-3.31946994,-3.034619958,10,1,1,1,117.5
119,10,955.92,0.041691,39.745,62.348,1,10,10.04,middle SES,1,0.389301911,0.04802219,-1.718240283,-0.943400116,-3.177470001,-3.036092088,10,1,1,1,90
12,23,71.152,0.091351,2.1458,1,1,23,23.4,high SES,2,0.682115837,0.228696406,1.360033853,-0.382555787,-2.393046049,-1.475359895,23,5,5,7,112.5
120,12,174.32,0.071774,8.468,9.2267,1,12,12.6,high SES,2,0.478561377,0.115534362,-1.128391347,-0.736970806,-2.634232985,-2.158187286,12,1,1,2,115
122,11,34.032,8.87E-10,2.2573,13.653,0,11,11.84,high SES,2,0.141876646,0.08485055,-1.30350275,-1.952797289,-20.84317613,-2.466863807,11,1,1,1,120
123,12,58.166,8.32E-08,3.0422,6.9284,1,12,12.95,middle SES,1,0.305117044,0.139018908,-1.047747938,-1.187059825,-16.30201849,-1.973145324,12,1,1,2,95
124,12,93086,0.0047991,1231.2,5304,1,12,12.35,high SES,2,0.188395152,0.004836648,-1.185993782,-1.669213648,-5.339326879,-5.331533291,12,1,1,2,125
125,15,107.95,0.041257,2.2998,2.6458,0,15,15.62,high SES,2,0.465019411,0.204553403,-0.43255393,-0.76567613,-3.187934484,-1.586926198,15,2,2,3,102.5
126,10,14500000,2.99E-12,12900000,1.0007,1,10,10.35,high SES,2,0.999999922,7.75E-08,-1.646813264,-7.76E-08,-26.53574773,-16.37238815,10,1,1,1,105
127,10,90.534,0.051411,6.6721,9.1695,0,10,10.01,high SES,2,0.421175891,0.120313229,-1.725152575,-0.864704738,-2.967903122,-2.117656693,10,1,1,1,122.5
129,13,478.12,0.05952,11.056,27.007,0,13,13.16,high SES,2,0.290465807,0.072635909,-0.999361892,-1.236269415,-2.821442888,-2.622295866,13,2,2,2,102.5
130,13,45.513,8.10E-10,4.4114,2.6931,1,13,13.75,middle SES,1,0.620930396,0.170418927,-0.863420145,-0.476536287,-20.93398687,-1.769495595,13,2,2,2,110
131,10,35.733,3.90E-10,6.7437,6.1714,1,10,10.93,high SES,2,0.522156236,0.133905998,-1.513175614,-0.649788434,-21.66487438,-2.010617234,10,1,1,1,100
133,14,49.173,0.02674,1.3922,5.6295,1,14,14.31,high SES,2,0.198271074,0.140770045,-0.73439069,-1.618120124,-3.621594707,-1.96062761,14,2,2,3,112.5
134,13,33.229,3.32E-08,1.3046,5.5787,1,13,13.51,middle SES,1,0.189531184,0.139590051,-0.918718483,-1.663201708,-17.22071596,-1.96904536,13,2,2,2,107.5
135,11,30.801,0.12265,1.1478,1,1,11,11.98,middle SES,1,0.5344073,0.281148458,-1.271245386,-0.626596996,-2.098420508,-1.268872427,11,1,1,1,112.5
136,11,63.074,0.041673,1,9.4868,1,11,11.94,middle SES,1,0.095357974,0.086659735,-1.280461776,-2.350117323,-3.177901842,-2.445765919,11,1,1,1,110
137,10,167000,0.0089767,1393.6,1647.7,1,10,10.89,high SES,2,0.458225101,0.00903333,-1.522392004,-0.780394728,-4.713122948,-4.706834248,10,1,1,1,135
138,14,90.737,0.061148,3.9863,4.1175,1,14,14.79,high SES,2,0.491905032,0.165692071,-0.623794015,-0.709469605,-2.794458124,-1.797624209,14,2,2,3,105
139,15,54.561,0.033853,1.6318,3.6164,1,15,15.37,high SES,2,0.310925651,0.185175641,-0.490156365,-1.168201461,-3.385727657,-1.686450494,15,2,2,3,105
14,20,69.034,0.031557,2.2722,2.4401,1,20,20.82,low SES,0,0.48218492,0.209068525,0.765576722,-0.729427586,-3.455959845,-1.56509321,20,4,4,6,117.5
140,16,27.939,2.90E-09,1.2064,1.6632,1,16,16.07,middle SES,1,0.420407025,0.250936307,-0.328869547,-0.866531929,-19.6585551,-1.382556131,16,3,3,4,85
141,16,70.769,1.86E-09,1.1158,1.3212,0,14,16.82,middle SES,1,0.457858022,0.268739909,-0.156062241,-0.781196138,-20.10268935,-1.314011248,14,2,2,3,95
